2200LL-101-H-RC|Bourns Inc|454|1|$2.2939
1SV228TPH3F|Toshiba America Electronic Components|3000|1|$0.1671
SMF12A-E3-08|Vishay Intertechnologies|1000|1|$0.1403
UUD1A470MCL1GS|Nichicon Corporation|2000|1|$0.1032
GRM155R71E682KA01D|Murata Manufacturing Co Ltd|40026|1|$0.0067
PCMF3USB3SZ|NXP Semiconductors|4490|1|$0.6579
AC050000B2209J6BCS|Vishay Intertechnologies|1040|1|$0.6332
LM2735XQMF/NOPB|Texas Instruments|108|1|$1.6261
LM2735YMY/NOPB|Texas Instruments|419|1|$1.5193
S9KEAZ64ACLH|NXP Semiconductors|1600|1|$2.2533
10045367-101LF|Amphenol ICC|36|1|$3.3660
L6228N|STMicroelectronics|714|1|$3.7403
L6506|STMicroelectronics|2176|1|$1.7950
L6506D013TR|STMicroelectronics|1988|1|$2.1600
L6506D|STMicroelectronics|58|1|$1.8144
Q33310F70060000|Epson Electronics America Inc|6000|1|$0.4714
MBB02070Z0000ZC100|Vishay Intertechnologies|750|1|$0.1198
MBB02070Z0000ZCT00|Vishay Intertechnologies|15380|1|$0.0456
1909763-1|TE Connectivity Ltd|128652|1|$0.1802
35108|TE Connectivity Ltd|65847|1|$0.1512
5023510800|Molex|46692|1|$0.1812
M23053/5-108-5|TE Connectivity Ltd|5930|1|$1.2327
660-013NF15R3.5-108|Glenair Inc|550|1|$35.3875
2-35108-1|TE Connectivity Ltd|528|1|$0.2744
660-009B16S3.5-108|Glenair Inc|425|1|$34.5250
660-008NF16S3.5-108|Glenair Inc|425|1|$35.4750
660-024NF15U3.5-108|Glenair Inc|425|1|$42.8000
660-009NF16S3.5-108|Glenair Inc|425|1|$36.6500
660-013NF15R3.5-108-152-8|Glenair Inc|425|1|$38.6000
660-007G14D3.5-108|Glenair Inc|275|1|$31.4500
660-012NF15H3.5-108|Glenair Inc|275|1|$37.2125
660-013NF15S3.5-108|Glenair Inc|275|1|$35.9125
660-013M15S3.5-108|Glenair Inc|110|1|$39.0875
660-009B16R3.5-108|Glenair Inc|110|1|$43.1125
