HV823LG-G|Supertex Inc|77|1|$2.6400|3|$2.4800|10|$2.2600|50|$2.0600|
BC547BTA|ON Semiconductor|1380|10|$0.0702|100|$0.0421|500|$0.0333|1000|$0.0263|2000|$0.0246|
BC556BTA|ON Semiconductor|1240|10|$0.0782|100|$0.0417|250|$0.0329|1000|$0.0261|4000|$0.0244|
BZV55-B2V4.115|Nexperia|1720|10|$0.0620|100|$0.0258|500|$0.0207|2500|$0.0186|10000|$0.0173|
NCV8402ASTT1G|ON Semiconductor|1100|1|$0.6785|5|$0.5112|25|$0.4109|100|$0.3687|500|$0.3442|
4-1393789-5|TE Connectivity Ltd|1105|1|$1.4000|5|$1.3600|25|$1.3100|100|$1.2600|500|$1.2200|
BSR19A.215|Nexperia|1765|3|$0.2154|25|$0.1095|100|$0.0912|500|$0.0782|3000|$0.0687|
VSMB2943RGX01|Vishay Intertechnologies|5980|2|$0.4850|10|$0.3240|50|$0.2680|250|$0.2342|1000|$0.2181|
280360|TE Connectivity Ltd|2386|5|$0.1625|20|$0.1470|100|$0.1206|500|$0.1070|2000|$0.0935|
2-520337-2|TE Connectivity Ltd|7589|10|$0.2730|50|$0.2457|200|$0.1990|1000|$0.1733|
VS-30BQ100-M3/9AT|Vishay Intertechnologies|413|3|$0.3000|10|$0.2800|50|$0.2600|250|$0.2300|1000|$0.2000|
74AHC1G02GV.125|Nexperia|1155|10|$0.0681|50|$0.0586|250|$0.0470|1000|$0.0409|3000|$0.0380|
BAV199T-7-F|Diodes Incorporated|2925|10|$0.0849|50|$0.0730|250|$0.0587|1000|$0.0527|3000|$0.0492|
PMEG3010ER.115|Nexperia|4511|3|$0.1967|25|$0.1182|100|$0.0944|500|$0.0843|3000|$0.0787|
2-735075-6|TE Connectivity Ltd|5042|10|$0.0774|50|$0.0704|200|$0.0575|1000|$0.0515|7500|$0.0447|
3386P-1-502LF|Bourns Inc|517|1|$1.2877|5|$1.1624|25|$0.7960|50|$0.6298|
BZT52H-C22.115|Nexperia|5975|25|$0.0339|100|$0.0293|250|$0.0234|1000|$0.0211|3000|$0.0197|
BZV55-B10.115|Nexperia|4315|10|$0.0685|100|$0.0263|500|$0.0212|2500|$0.0185|10000|$0.0169|
LH1540AT|Vishay Intertechnologies|3|1|$2.1400|5|$1.9400|25|$1.7900|100|$1.5300|500|$1.3800|
MBR1060-E3/45|Vishay Intertechnologies|514|1|$0.7000|5|$0.5400|25|$0.4956|100|$0.4388|500|$0.3823|
NTCS0603E3103HMT|Vishay Intertechnologies|1880|5|$0.2860|20|$0.2200|100|$0.2057|1000|$0.1820|4000|$0.1683|
RS1K-E3/61T|Vishay Intertechnologies|1782|10|$0.1280|50|$0.1148|250|$0.1012|900|$0.0940|1800|$0.0879|
S1A-E3/61T|Vishay Intertechnologies|8686|10|$0.0630|50|$0.0396|250|$0.0349|900|$0.0323|1800|$0.0303|
US1A-E3/61T|Vishay Intertechnologies|1795|5|$0.1520|25|$0.0972|100|$0.0911|500|$0.0828|1800|$0.0773|
ES1A-E3/61T|Vishay Intertechnologies|952|10|$0.0770|50|$0.0688|250|$0.0607|500|$0.0564|1800|$0.0528|
SFH6106-3T|Vishay Intertechnologies|2305|2|$0.3700|10|$0.2930|50|$0.2424|250|$0.2127|1000|$0.1979|
SFH6106-4T|Vishay Intertechnologies|779|2|$0.3700|10|$0.2930|50|$0.2424|250|$0.2127|1000|$0.1979|
T520T476M006ATE070|KEMET Corporation|60|1|$1.1800|10|$0.7580|100|$0.4994|1000|$0.4308|
T520V227M006ATE025|KEMET Corporation|60|1|$3.4500|10|$2.7570|100|$2.1667|1000|$1.3788|
T520V477M2R5ATE009|KEMET Corporation|60|1|$2.6000|10|$2.0760|100|$1.6309|500|$1.1861|1000|$1.0231|
