74LVC541AD,118|Nexperia|6000|2000|$0.2583|6000|$0.2385
1-104479-0|TE Connectivity Ltd|30000|15000|$0.0915|30000|$0.0845
PMEG3010ER,115|Nexperia|51000|3000|$0.1883|51000|$0.1738
551MILFT|Integrated Device Technology Inc|12000|3000|$1.8200|12000|$1.6800
2-794954-0|TE Connectivity Ltd|1500|1000|$0.2833|1500|$0.2615
74HCT574PW,118|Nexperia|45000|2500|$0.1717|45000|$0.1585
74LVC125ABQ,115|Nexperia|6000|3000|$0.1410|6000|$0.1302
BZV55-B10,115|Nexperia|1470000|2500|$0.0733|1470000|$0.0677
KBU6J-E4/51|Vishay Semiconductors|1620|150|$0.8562|1100|$0.8059
KBU8J-E4/51|Vishay Semiconductors|46905|50|$15.9000|46905|$14.6800
LH1510AAB/TR|Vishay Intertechnologies|1000|1|$3.0000
S3B-E3/57T|Vishay Semiconductors|93500|850|$0.3917|93500|$0.3615
RS3B-E3/57T|Vishay Semiconductors|4250|850|$0.4000|4250|$0.3692
MURS320-E3/57T|Vishay Semiconductors|21250|850|$0.5750|21250|$0.5308
IHLP1616ABER2R2M11|Vishay Dale|24000|4000|$1.5600|24000|$1.4400
IHLP2020CZER2R2M01|Vishay Dale|2000|2000|$1.5300
IHLP3232CZERR22M01|Vishay Dale|3000|1000|$0.7200
IHLP4040DZER4R7M01|Vishay Dale|50000|500|$1.7000|50000|$1.5700
S1A-E3/61T|Vishay Semiconductors|196200|3600|$0.0600|196200|$0.0554
ES1A-E3/61T|Vishay Semiconductors|3600|1800|$0.2017|3600|$0.1862
SFH6106-3T|Vishay Intertechnologies|16000|1000|$0.2533|11000|$0.2338
SFH6106-4T|Vishay Semiconductors|25000|1000|$0.7500|25000|$0.6923
STM32F205RBT6|STMicroelectronics|30451|960|$8.3200|30451|$7.6800
STM32F207IGH6|STMicroelectronics|1890|168|$17.6700|1890|$16.3100
BAS16-HE3-08|Vishay Semiconductors|21000|6000|$0.0393|21000|$0.0363
BYV28-200-TAP|Vishay Semiconductors|22500|2500|$0.7583|22500|$0.7000
BZG03C16TR|Vishay Semiconductors|1500|1500|$0.1733
SMBJ18CA|Fairchild Semiconductor Corporation|48000|3000|$0.2750|48000|$0.2538
SMBJ18CA-TR|STMicroelectronics|375000|2500|$0.1950|375000|$0.1800
24LC1025-I/SM|Microchip Technology Inc|6080|90|$5.3800|6080|$4.9700
350764-4|TE Connectivity Ltd|450|150|$1.2500|450|$1.1500
SMCJ30CAHE3/57T|Vishay Semiconductors|1700|850|$1.4300|1700|$1.3200
5747845-6|TE Connectivity Ltd|1024|104|$7.7500|1024|$7.1500
5747847-4|TE Connectivity Ltd|28|15|$11.7700|28|$10.8600
5-1462000-1|TE Connectivity Ltd|1000|1000|$2.6700
RGF1M-E3/67A|Vishay Semiconductors|19500|1500|$0.2850|19500|$0.2631
AS393MTR-G1|Diodes Incorporated|96000|4000|$0.0925|96000|$0.0854
1-87175-2|TE Connectivity Ltd|100|56|$2.9800|100|$2.7500
1-640445-3|TE Connectivity Ltd|1056|500|$1.1900|1056|$1.1000
1-640456-2|TE Connectivity Ltd|3096|1000|$0.5417|3096|$0.5000
6469025-1|TE Connectivity Ltd|2488|20|$13.9300|2488|$12.8600
TS27L4IPT|STMicroelectronics|2500|686|$0.3417|2500|$0.3154
LPC11E68JBD64E|NXP Semiconductors|1120|160|$4.1500|1120|$3.8300
24LC128-I/SN|Microchip Technology Inc|32752|200|$1.0500|32752|$0.9692
SMAJ58CA|Littelfuse Inc|55000|5000|$0.2900|55000|$0.2677
SMAJ58CA-13-F|Diodes Incorporated|5000|5000|$0.0968
NCV51411DR2G|ON SEMICONDUCTOR|5000|2500|$2.3200|5000|$2.1400
282088-1|TE Connectivity Ltd|1453|500|$6.1800|1453|$5.7100
EEF-CX0J151XR|Panasonic Electronic Components|7000|3500|$1.0500|7000|$0.9692
HCPL2630SD|Fairchild Semiconductor Corporation|1000|1000|$1.7200
DS92LV010ATMX/NOPB|Texas Instruments|12500|2500|$2.7000|12500|$2.4900
NR6045T100M|TAIYO YUDEN|13500|1500|$0.2317|13500|$0.2138
SGL50N60RUFDTU|Fairchild Semiconductor Corporation|1713|375|$12.0800|1713|$11.1500
FDMC8015L|Fairchild Semiconductor Corporation|6000|3000|$0.5250|6000|$0.4846
FDMC86244|Fairchild Semiconductor Corporation|6000|3000|$0.5417|6000|$0.5000
ERJ-1TYJ110U|Panasonic Electronic Components|8000|4000|$0.1883|8000|$0.1738
MC9S08SH16MTG|NXP Semiconductors|192|96|$3.6300|192|$3.3500
MC9S12DP512CPVE|NXP Semiconductors|468|60|$37.0800|468|$34.2300
TJA1028T/5V0/20/1J|NXP Semiconductors|5000|2500|$0.8667|5000|$0.8000
A1006TL/TA1NXZ|NXP Semiconductors|8000|4000|$0.5667|8000|$0.5231
BAP64Q,125|NXP Semiconductors|3000|3000|$0.3500
BB201,215|NXP Semiconductors|12000|3000|$0.3833|12000|$0.3538
TDA8020HL/C2,118|NXP Semiconductors|4000|2000|$2.9000|4000|$2.6800
SMBJ20CA-13-F|Diodes Incorporated|9000|3000|$0.1582|9000|$0.1460
SMBJ20CA-TR|STMicroelectronics|130000|2500|$0.1867|130000|$0.1723
FDN358P|Fairchild Semiconductor Corporation|76|3000|$0.1967|144000|$0.1815
FDN359BN|Fairchild Semiconductor Corporation|30000|3000|$0.1657|30000|$0.1529
RS02B4R700FE70|Vishay Dale|400|33|$5.1300|400|$4.7400
VS-MUR3020WTPBF|Vishay Semiconductors|1416|75|$2.6700|1416|$2.4600
TFBS4711-TT1|Vishay Semiconductors|1000|1000|$3.5700
TLZ5V1B-GS08|Vishay Semiconductors|5000|5000|$0.0592
TZMC3V3-GS08|Vishay Semiconductors|127500|10000|$0.0168|127500|$0.0155
SMBJ150A-13-F|Diodes Incorporated|34800|3000|$0.2133|34800|$0.1969
STM8S105C6T6TR|STMicroelectronics|2400|1200|$2.4800|2400|$2.2900
BLE-IOT-GEVB|ON SEMICONDUCTOR|20|10|$105.4800|20|$97.3700
S3M|Fairchild Semiconductor Corporation|4377000|3000|$0.3833|4377000|$0.3538
EDR-FRS3MDC-S DC12V|ECE|500|3000|$0.3233|54000|$0.2985
S3M-TP|MISC|6|500|$5.3800|1000|$4.9700
RS3M-13-F|Diodes Incorporated|54000|500|$5.3500|1000|$4.9400
PDS1-S3-S3-M-TR|CUI INC|1000|16|$11.0000|113|$10.1500
PDS1-S5-S3-M-TR|CUI INC|1000|26|$17.2200|52|$15.8900
C2A-S3M500|HP WINNER|113|3|$70.0000|8|$64.6200
LIS3MDLTR|STMicroelectronics|40000|3|$60.0000|8|$55.3800
